NEUE_NAMEN,SHAPE,ADRESSE
kaiserlichen Zeughauses,,
Renngasse Nr. 140,,
Renngasse,POINT (16.367211551082715 48.21277258486223),"01., Renngasse 12"
hohe Brücke,POINT (16.368607210105097 48.21273703123713),"01., Hohe Brücke 120"
tiefen Graben,POINT (16.36762957026213 48.212022628343945),"01., Tiefer Graben 12"
Schwertgasse,POINT (16.36968259868288 48.21263236404844),"01., Schwertgasse 2"
Maria Stiegen,,
Salzgries,POINT (16.372856189480476 48.212974028083316),"01., Salztorgasse 2"
Maria am Gestade,POINT (16.371131768915312 48.21243145165297),"01., Salvatorgasse 12/1"
Stoß im Himmel,POINT (16.37023622465546 48.212049341689465),"01., Stoß im Himmel 1"
Wipplingerstraße,POINT (16.367813684995504 48.213098780419266),"01., Wipplingerstraße 28"
Rathhaus,POINT (16.35728891810624 48.21083297835947),"01., Rathausplatz 1 Rathaus"
Hofkanzlei,,
Quergasse,POINT (16.288555840039205 48.138134437070605),"23., Breitenfurter Straße 381/2"
Judenplatz,POINT (16.36960303229701 48.211563710799744),"01., Judenplatz 5"
den Hof. Kirche zu den  7 Chören der Engel,,
bürgerliche Zeughaus,POINT (16.36822221171329 48.211820035847836),"01., Am Hof 9-10"
Bognergasse,POINT (16.36845048079676 48.21005966698724),"01., Naglergasse 6"
Seitzerhof,POINT (16.36950668332152 48.210055849959275),"01., Tuchlauben 7"
Spenglergasse,POINT (16.355792525263226 48.186367364767186),"05., Spengergasse 24"
Milchgäßchen,,
Petersplatz,POINT (16.369974493049803 48.20917244550749),"01., Petersplatz 3"
Peterskirche,POINT (16.370019718040744 48.20944704146257),"01., Petersplatz K KIRCHE"
PolizeiOberdirektion,POINT (16.363947781177153 48.21495879085676),"01., Schottenring 7-9"
Feuerwache,,
Goldschmiedgasse,POINT (16.371230888865306 48.20872087849101),"01., Goldschmiedgasse 6"
Stephansplatz,POINT (16.37290534149696 48.20810040838734),"01., Stephansplatz 3"
Gerolds  Buchhandlung,,
Stephansdom,POINT (16.373247181361492 48.20841804972867),"01., Stephansplatz Tiefgarage"
Stephansplatz,POINT (16.37290534149696 48.20810040838734),"01., Stephansplatz 3"
Bischofgasse,POINT (16.397510653822437 48.13777268823814),"10., Bischofgasse 1A"
Wollzeile,POINT (16.376389522715947 48.20834155448045),"01., Wollzeile 20"
Schranders ,,
Kleidermagazin,,
BriefPost,,
Schaumburgs eleganter Bücherladen,,
Essiggäßchen,,
Bäckerstraße,POINT (16.377045447165173 48.20872659105826),"01., Bäckerstraße 18"
Universitätsplatz,,
Universitäts=Gebäude,,
Sternwarte,,
Konvikt,,
Universitätshaus,POINT (16.3527672731262 48.21681310237805),"09., Spitalgasse 2 Uni-Campus"
Schulgasse,POINT (16.378672594075592 48.179722812509716),"10., Scheugasse 13"
Dominkanerplatz,,
Universitätsbibllothek,POINT (16.36085192883249 48.21301274927523),"01., Universitätsring 1 UNIVERSITÄT"
Fahrpost,,
griechische Kirche,,
Hauptmauth,,
Hôtel zur Stadt London,,
Währingergasse,POINT (16.37660993287555 48.18851950935964),"04., Weyringergasse 24"
Palais Dietrichstein,,
Josephinum,POINT (16.356561962066262 48.21930800044049),"09., Währinger Straße 25"
Waisenhaus,POINT (16.355685475675617 48.22243948084974),"09., Strudlhofgasse 7"
